id,titulo,descripcion,planta_id,creado_por,asignado_a,supervisado_por,estado_id,prioridad_id,fecha_inicio,fecha_limite,fecha_cierre,dias_retraso,porcentaje_avance,evidencia,observaciones,revisado,revisado_en,created_at,updated_at
b2c3b353-2d13-40de-91be-d93921a1ab30,Pintura Retardante.,"Dar seguimiento con mantenimiento ellos dieron fecha aproximada 30 de mayo, cuando quede pintado el site cerrar la tarea",168daace-aa7b-4569-ac9d-5cfdcbe9b273,fdf82363-2b2c-4d9a-8191-cb8d05748a9b,00c52ac1-3d2c-4508-8aac-9a3244f206bf,,894cb28a-93e0-4a7b-be55-120cb8c2b013,0749b5a9-da42-4012-8bdb-1f8363277091,2026-04-17 00:00:00,2026-05-30 00:00:00,,0,0,,,false,,2026-04-17 17:19:37.827107,2026-04-17 17:20:43.520703
bae8bf66-ca7b-4f44-93cb-5b879fa9ad06,UPS están en el suelo.,"La UPS debe colocarse a un mínimo de  3"" sobre el suelo. Revisar con el área de mantenimiento para elaborar una estructura conforme a las siguientes medidas: 26"" de largo × 15"" de ancho × 3"" de alto. Si es posible, añadir ruedas para facilitar su movilidad.
",4bae2d76-e0d8-496f-bb92-3bb812d7fd26,fdf82363-2b2c-4d9a-8191-cb8d05748a9b,11dc324b-f44a-4f4a-81e2-9d74d1ef8efa,,894cb28a-93e0-4a7b-be55-120cb8c2b013,1b1d1aeb-b663-4478-a223-2737e39e2357,2026-04-17 00:00:00,2026-04-30 00:00:00,,0,0,,,false,,2026-04-17 16:28:37.491417,2026-04-17 16:41:51.04559
d0077101-7d7e-4c1b-afee-3639be299388,"Impresión Segura"" (Secure Print)",Por el momento se estará dando seguimiento con compras esta tarea se cerrará hasta cuando el proveedor haga la implementación en tu planta.,4bae2d76-e0d8-496f-bb92-3bb812d7fd26,fdf82363-2b2c-4d9a-8191-cb8d05748a9b,11dc324b-f44a-4f4a-81e2-9d74d1ef8efa,,894cb28a-93e0-4a7b-be55-120cb8c2b013,0749b5a9-da42-4012-8bdb-1f8363277091,2026-04-17 00:00:00,2026-05-08 00:00:00,,0,0,,,false,,2026-04-17 16:58:24.11373,2026-04-17 17:00:27.039777
e25355a2-4a4a-43b1-9fea-64101a335d35,UPS están en el suelo.,"La UPS debe colocarse a un mínimo de  3"" sobre el suelo. Revisar con el área de mantenimiento para elaborar una estructura conforme a las siguientes medidas: 26"" de largo × 15"" de ancho × 3"" de alto. Si es posible, añadir ruedas para facilitar su movilidad.",5cd9ae39-7ff3-4e4f-8a53-f8b03a101f2e,fdf82363-2b2c-4d9a-8191-cb8d05748a9b,c9d0b2e0-6a7c-4b5b-ad0c-f4091bf7d364,,894cb28a-93e0-4a7b-be55-120cb8c2b013,1b1d1aeb-b663-4478-a223-2737e39e2357,2026-04-17 00:00:00,2026-04-30 00:00:00,,0,0,,,false,,2026-04-17 16:26:34.14559,2026-04-17 16:41:31.563209
e8ce658f-ef0a-408c-89c4-32369d964518,"Impresión Segura"" (Secure Print)",Por el momento se estará dando seguimiento con compras esta tarea se cerrará hasta cuando el proveedor haga la implementación en tu planta.,fc89c523-e688-4670-a330-71fb71815dcb,fdf82363-2b2c-4d9a-8191-cb8d05748a9b,00c52ac1-3d2c-4508-8aac-9a3244f206bf,,894cb28a-93e0-4a7b-be55-120cb8c2b013,0749b5a9-da42-4012-8bdb-1f8363277091,2026-04-17 00:00:00,2026-05-08 00:00:00,,0,0,,,false,,2026-04-17 17:01:32.217354,2026-04-17 17:01:32.217354
eb0dd832-94fe-43d0-883a-eadc063063f8,Compra trituradora RH,"Seguimiento copra trituradora , en NIC 2 RH la compro",5cd9ae39-7ff3-4e4f-8a53-f8b03a101f2e,fdf82363-2b2c-4d9a-8191-cb8d05748a9b,c9d0b2e0-6a7c-4b5b-ad0c-f4091bf7d364,,894cb28a-93e0-4a7b-be55-120cb8c2b013,0749b5a9-da42-4012-8bdb-1f8363277091,2026-04-17 00:00:00,2026-04-30 00:00:00,,0,0,,,false,,2026-04-17 16:53:14.772508,2026-04-17 16:53:14.772508
f3975db0-c8b6-4e5b-a7ad-f5c0c2f0a1d4,UPS están en el suelo.,"La UPS debe colocarse a un mínimo de  3"" sobre el suelo. Revisar con el área de mantenimiento para elaborar una estructura conforme a las siguientes medidas: 26"" de largo × 15"" de ancho × 3"" de alto. Si es posible, añadir ruedas para facilitar su movilidad.",e5e876ec-fd7c-4849-81fa-6947384234e2,fdf82363-2b2c-4d9a-8191-cb8d05748a9b,c1050667-3df3-4eaa-a55f-88a96165f36a,,894cb28a-93e0-4a7b-be55-120cb8c2b013,1b1d1aeb-b663-4478-a223-2737e39e2357,2026-04-17 00:00:00,2026-04-30 00:00:00,,0,0,,,false,,2026-04-17 16:27:29.728043,2026-04-17 16:41:40.923938
f5def9d8-4f48-41f2-b562-b2da9950ad05,UPS están en el suelo.,"La UPS debe colocarse a un mínimo de  3"" sobre el suelo. Revisar con el área de mantenimiento para elaborar una estructura conforme a las siguientes medidas: 26"" de largo × 15"" de ancho × 3"" de alto. Si es posible, añadir ruedas para facilitar su movilidad.
",26d241c3-2e17-4dd2-bd4c-121cedeeb57d,fdf82363-2b2c-4d9a-8191-cb8d05748a9b,cda0e597-ae61-45a6-a03a-d7829ab89fcf,,894cb28a-93e0-4a7b-be55-120cb8c2b013,1b1d1aeb-b663-4478-a223-2737e39e2357,2026-04-17 00:00:00,2026-04-30 00:00:00,,0,0,,,false,,2026-04-17 16:29:21.832703,2026-04-17 16:41:59.537605
f5fb6ef1-b66e-4d4f-893f-510334c147d2,Pintura Retardante.,"Dar seguimiento con mantenimiento ellos dieron fecha aproximada 30 de mayo, cuando quede pintado el site cerrar la tarea",26d241c3-2e17-4dd2-bd4c-121cedeeb57d,fdf82363-2b2c-4d9a-8191-cb8d05748a9b,cda0e597-ae61-45a6-a03a-d7829ab89fcf,,894cb28a-93e0-4a7b-be55-120cb8c2b013,0749b5a9-da42-4012-8bdb-1f8363277091,2026-04-17 00:00:00,2026-05-30 00:00:00,,0,0,,,false,,2026-04-17 17:18:16.179763,2026-04-17 17:18:16.179763
fa532202-34fa-4f54-9fa7-af1efc4b1188,UPS están en el suelo.,"La UPS debe colocarse a un mínimo de  3"" sobre el suelo. Revisar con el área de mantenimiento para elaborar una estructura conforme a las siguientes medidas: 26"" de largo × 15"" de ancho × 3"" de alto. Si es posible, añadir ruedas para facilitar su movilidad.
",52ae5fde-7897-4331-8e91-62b79dacdbeb,fdf82363-2b2c-4d9a-8191-cb8d05748a9b,81d7de27-8151-4837-8454-1b76835504c2,,894cb28a-93e0-4a7b-be55-120cb8c2b013,1b1d1aeb-b663-4478-a223-2737e39e2357,2026-04-17 00:00:00,2026-04-30 00:00:00,,0,0,,,false,,2026-04-17 16:25:45.411132,2026-04-17 16:41:18.281531
